method,batch_size,context_length,ms_per_token
ours,4,32768,0.3211
ours,4,65536,0.3355
ours,4,131072,0.3493
ours,4,262144,0.3586
ours,8,32768,0.1756
ours,8,65536,0.1794
ours,8,131072,0.1734
ours,8,262144,0.2075
ours,16,32768,0.0829
ours,16,65536,0.0871
ours,16,131072,0.1028
ours,16,262144,0.1231
ours,32,32768,0.0576
ours,32,65536,0.0684
ours,32,131072,0.0804
ours,32,262144,0.0927
baseline,4,32768,0.3501
baseline,4,65536,0.3431
baseline,4,131072,0.4031
baseline,4,262144,0.5186
baseline,8,32768,0.1810
baseline,8,65536,0.2016
baseline,8,131072,0.2600
baseline,8,262144,0.3815
baseline,16,32768,0.1017
baseline,16,65536,0.1311
baseline,16,131072,0.1898
baseline,16,262144,0.3139
baseline,32,32768,0.0860
baseline,32,65536,0.1310
baseline,32,131072,0.2368
baseline,32,262144,0.4507
dynamic,4,32768,0.3209
dynamic,4,65536,0.5078
dynamic,4,131072,0.8748
dynamic,4,262144,1.6209
dynamic,8,32768,0.2538
dynamic,8,65536,0.4412
dynamic,8,131072,0.8111
dynamic,8,262144,1.5328
dynamic,16,32768,0.2195
dynamic,16,65536,0.4060
dynamic,16,131072,0.7678
dynamic,16,262144,1.4940
dynamic,32,32768,0.2190
dynamic,32,65536,0.4264
dynamic,32,131072,0.8141
dynamic,32,262144,1.6117
